number,values_0,values_1,params_activation_function,params_batch_size,params_n_hidden_layers,params_optimizer,user_attrs_accuracy,user_attrs_activation_function,user_attrs_auroc,user_attrs_batch_size,user_attrs_f1,user_attrs_ks_statistic,user_attrs_max_distance_at,user_attrs_n_hidden_layers,user_attrs_optimizer,user_attrs_precision,user_attrs_recall,system_attrs_nsga2:generation,params_dropout,user_attrs_dropout,params_units_per_layer,user_attrs_units_per_layer
10,0.431994013391578,0.0455503798249367,softmax,64,220,SGD,0.9507237449953804,softmax,0.431994013391578,64,0.9480547395572114,0.0455503798249367,0.5001702904701233,220,SGD,0.9480547395572114,0.9379740554334728,0,,,,
3,0.4636891808304275,0.0508497303003204,softmax,64,280,SGD,0.9507237449953804,softmax,0.4636891808304275,64,0.9480547395572114,0.0508497303003204,0.499692291021347,280,SGD,0.9480547395572114,0.9379740554334728,0,,,,
37,0.6759886371283716,0.2666991526833558,softmax,64,180,SGD,0.9507237449953804,softmax,0.6759886371283716,64,0.9480547395572114,0.2666991526833558,0.5008479952812195,180,SGD,0.9480547395572114,0.9379740554334728,0,,,,
39,0.8203129468002277,0.5069490077279113,softmax,64,40,SGD,0.9507237449953804,softmax,0.8203129468002277,64,0.9480547395572114,0.5069490077279113,0.5056591629981995,40,SGD,0.9480547395572114,0.9379740554334728,0,,,,
46,0.837507261862344,0.5321433199797252,sigmoid,128,320,SGD,0.9507237449953804,sigmoid,0.837507261862344,128,0.9480547395572114,0.5321433199797252,0.4968731701374054,320,SGD,0.9480547395572114,0.9379740554334728,0,,,,
44,0.8519853982701144,0.5699428235837858,sigmoid,96,320,SGD,0.9507237449953804,sigmoid,0.8519853982701144,96,0.9480547395572114,0.5699428235837858,0.4954763650894165,320,SGD,0.9480547395572114,0.9379740554334728,0,,,,
28,0.8641617501909624,0.5769044680224454,tanh,64,310,SGD,0.9507237449953804,tanh,0.8641617501909624,64,0.9480547395572114,0.5769044680224454,0.4817126989364624,310,SGD,0.9480547395572114,0.9379740554334728,0,,,,
34,0.8643733760104026,0.5747188401343988,tanh,160,500,SGD,0.9507237449953804,tanh,0.8643733760104026,160,0.9480547395572114,0.5747188401343988,0.5968590378761292,500,SGD,0.9480547395572114,0.9379740554334728,0,,,,
23,0.8660185919812086,0.5717721838576676,tanh,32,330,SGD,0.9507237449953804,tanh,0.8660185919812086,32,0.9480547395572114,0.5717721838576676,0.4950640797615051,330,SGD,0.9480547395572114,0.9379740554334728,0,,,,
26,0.8680187032274985,0.5830024462641488,tanh,96,460,SGD,0.9507237449953804,tanh,0.8680187032274985,96,0.9480547395572114,0.5830024462641488,0.5983862280845642,460,SGD,0.9480547395572114,0.9379740554334728,0,,,,
32,0.8744400013741144,0.5805544681396058,tanh,96,440,SGD,0.9507237449953804,tanh,0.8744400013741144,96,0.9480547395572114,0.5805544681396058,0.6313561797142029,440,SGD,0.9480547395572114,0.9379740554334728,0,,,,
11,0.8750111258836003,0.5866211161401501,tanh,96,460,SGD,0.9507237449953804,tanh,0.8750111258836003,96,0.9480547395572114,0.5866211161401501,0.4777957499027252,460,SGD,0.9480547395572114,0.9379740554334728,0,,,,
