number,values_0,values_1,params_alpha,params_eta,params_grow_policy,params_lambda,params_max_depth,user_attrs_accuracy,user_attrs_alpha,user_attrs_auroc,user_attrs_eta,user_attrs_f1,user_attrs_grow_policy,user_attrs_ks_statistic,user_attrs_lambda,user_attrs_max_depth,user_attrs_max_distance_at,user_attrs_precision,user_attrs_recall,system_attrs_nsga2:generation
0,0.9942439985207154,0.9186944920127399,5,0.2,lossguide,2,5,0.9608561749307053,5,0.9942439985207154,0.2,0.9637953461482873,lossguide,0.9186944920127399,2,5,0.4703594148159027,0.9637953461482873,0.945417168781456,0
7,0.9943573235853511,0.921029699026517,2,0.05,lossguide,2,12,0.9616569140745304,2,0.9943573235853511,0.05,0.9653400868306802,lossguide,0.921029699026517,2,12,0.520152747631073,0.9653400868306802,0.9457007159566173,0
4,0.9948852532040721,0.9217540738124654,1,0.2,depthwise,4,11,0.9623344625808439,1,0.9948852532040721,0.2,0.9652607251191679,depthwise,0.9217540738124654,4,11,0.5343189835548401,0.9652607251191679,0.9474019990075849,0
5,0.9948867896057455,0.9214245619771908,2,0.3,depthwise,3,23,0.9616877117339082,2,0.9948867896057455,0.3,0.9627977261279412,depthwise,0.9214245619771908,3,23,0.5697829127311707,0.9627977261279412,0.9484653009144396,0
9,0.9948963515829943,0.9227084610539604,3,0.25,lossguide,1,12,0.9619032953495534,3,0.9948963515829943,0.25,0.9620853080568721,lossguide,0.9227084610539604,1,12,0.5481740236282349,0.9620853080568721,0.9497412632026654,0
3,0.9949449180891574,0.9219582415212699,3,0.25,lossguide,5,16,0.9622112719433323,3,0.9949449180891574,0.25,0.9645124062319677,lossguide,0.9219582415212699,5,16,0.5178109407424927,0.9645124062319677,0.947898206564117,0
1,0.9949632159382326,0.9236914608813933,4,0.15000000000000002,depthwise,4,24,0.9631659993840468,4,0.9949632159382326,0.15000000000000002,0.96600014437306,depthwise,0.9236914608813933,4,24,0.5143316388130188,0.96600014437306,0.9486070745020203,0
8,0.9949693017101876,0.9222783380709128,3,0.25,lossguide,1,42,0.9625192485371111,3,0.9949693017101876,0.25,0.964404092808762,lossguide,0.9222783380709128,1,42,0.4933391809463501,0.964404092808762,0.9487488480896009,0
2,0.9950487371509773,0.923679277756566,5,0.15000000000000002,depthwise,5,41,0.9628580227902679,5,0.9950487371509773,0.15000000000000002,0.9655719956694334,depthwise,0.923679277756566,5,41,0.5278148055076599,0.9655719956694334,0.948323527326859,0
6,0.995083755914244,0.9231858380392294,5,0.15000000000000002,lossguide,4,37,0.9628888204496459,5,0.995083755914244,0.15000000000000002,0.9651716181136429,lossguide,0.9231858380392294,4,37,0.5100480318069458,0.9651716181136429,0.9488197348833912,0
